question_id,option_id,option_label,is_missing
2023-032_q14,1,Strongly approve,false
2023-032_q14,2,Somewhat approve,false
2023-032_q14,3,Somewhat disapprove,false
2023-032_q14,4,Strongly disapprove,false
2023-032_q14,5,Not sure,false
2023-071_q1,1,1 A great deal,false
2023-071_q1,2,2,false
2023-071_q1,3,3,false
2023-071_q1,4,4,false
2023-071_q1,5,5 No confidence,false
2023-071_q10,1,Yes,false
2023-071_q10,2,No,false
2023-071_q10,3,Don't know/Don't remember,false
2023-071_q11,1,They think voting is very important,false
2023-071_q11,2,They think voting is somewhat important,false
2023-071_q11,3,They think voting is not that important,false
2023-071_q11,4,They think voting is not at all important,false
2023-071_q11,5,I don't know what they think,false
2023-071_q11,6,They disapprove of voting,false
2023-071_q11,7,They strongly disapprove of voting,false
2023-071_q12,1,Much more important for JUDGES,false
2023-071_q12,2,Somewhat more important for JUDGES,false
2023-071_q12,3,Somewhat more important for SENIOR MILITARY OFFICERS,false
2023-071_q12,4,Much more important for SENIOR MILITARY OFFICERS,false
2023-071_q12,5,Both are important and equally so,false
2023-071_q12,6,Neither is important,false
2023-071_q13_1,50,,false
2023-071_q13_1,51,,false
2023-071_q13_1,52,,false
2023-071_q13_1,53,,false
2023-071_q13_1,54,,false
2023-071_q13_1,55,,false
2023-071_q13_1,56,,false
2023-071_q13_1,57,,false
2023-071_q13_1,58,,false
2023-071_q13_1,59,,false
2023-071_q13_1,60,,false
2023-071_q13_1,61,,false
2023-071_q13_1,62,,false
2023-071_q13_1,63,,false
2023-071_q13_1,64,,false
2023-071_q13_1,65,,false
2023-071_q13_1,66,,false
2023-071_q13_1,67,,false
2023-071_q13_1,68,,false
2023-071_q13_1,69,,false
2023-071_q13_1,70,,false
2023-071_q13_1,71,,false
2023-071_q13_1,72,,false
2023-071_q13_1,73,,false
2023-071_q13_1,74,,false
2023-071_q13_1,75,,false
2023-071_q13_1,76,,false
2023-071_q13_1,77,,false
2023-071_q13_1,78,,false
2023-071_q13_1,79,,false
2023-071_q13_1,80,,false
2023-071_q13_1,81,,false
2023-071_q13_1,82,,false
2023-071_q13_1,83,,false
2023-071_q13_1,84,,false
2023-071_q13_1,85,,false
2023-071_q13_1,86,,false
2023-071_q13_1,87,,false
2023-071_q13_1,88,,false
2023-071_q13_1,89,,false
2023-071_q13_1,90,,false
2023-071_q13_1,91,,false
2023-071_q13_1,92,,false
2023-071_q13_1,93,,false
2023-071_q13_1,94,,false
2023-071_q13_1,95,,false
2023-071_q13_1,96,,false
2023-071_q13_1,97,,false
2023-071_q13_1,98,,false
2023-071_q13_1,99,,false
2023-071_q13_1,100,,false
2023-071_q14,1,Learning about constituents' opinions,false
2023-071_q14,2,Helping people with issues they have with government agencies,false
2023-071_q14,3,Working on legislation,false
2023-071_q14,4,Giving speeches on their policy positions,false
2023-071_q14,5,Helping their district get government money and projects,false
2023-071_q14,6,Attending political rallies,false
2023-071_q14,7,Working with the other party,false
2023-071_q15,1,All the time,false
2023-071_q15,2,Most all of the time,false
2023-071_q15,3,About half of the time,false
2023-071_q15,4,Some of the time,false
2023-071_q15,5,Never,false
2023-071_q15,6,I have never received or seen a voter guide,false
2023-071_q16,1,"1 Democracy means compromise: the majority should never overrule minority opinion, and should always compromise.",false
2023-071_q16,2,2,false
2023-071_q16,3,3,false
2023-071_q16,4,4 Democracy means that the majority should compromise about half of the time.,false
2023-071_q16,5,5,false
2023-071_q16,6,6,false
2023-071_q16,7,"7 Democracy means the majority always gets what it wants, no matter what the minority wants",false
2023-071_q17,1,Democratic Party,false
2023-071_q17,2,Republican Party,false
2023-071_q17,3,Don't know,false
2023-071_q18,1,Strongly Agree,false
2023-071_q18,2,Agree,false
2023-071_q18,3,Neither Agree Nor Disagree,false
2023-071_q18,4,Disagree,false
2023-071_q18,5,Strongly Disagree,false
2023-071_q19,1,Pure Independent,false
2023-071_q19,2,Independent Leaning to Democrat or Republican,false
2023-071_q19,3,Democrat or Republican,false
2023-071_q19,4,Strong Democrat or Strong Republican,false
2023-071_q2,1,0 Not at all worried,false
2023-071_q2,2,1,false
2023-071_q2,3,2,false
2023-071_q2,4,3,false
2023-071_q2,5,4,false
2023-071_q2,6,5,false
2023-071_q2,7,6,false
2023-071_q2,8,7 Very worried,false
2023-071_q20,1,Ron Desantis,false
2023-071_q20,2,Tim Scott,false
2023-071_q20,3,Nikki Haley,false
2023-071_q20,4,Vivek Ramaswamy,false
2023-071_q20,5,Chris Christie,false
2023-071_q20,6,Mike Pence,false
2023-071_q20,7,Some other candidate,false
2023-071_q21,1,Democrats,false
2023-071_q21,2,Hispanics,false
2023-071_q21,3,None of the above,false
2023-071_q21,4,Republicans,false
